"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Comments,Saves,Follows
18029340494526923,17841445806134898,cloudcanine,"On Cloud Canine LLC | Fear Free Certified Professionals","🎉 Pet of the Month Contest - Enter Now! 🎉

Here's your pet's chance to win an amazing goodie bag filled with tasty treats and more!

How to Enter: Check out the graphic above for all the details! You must be an established On Cloud Canine client to qualify.

📅 Entries close December 31st - don’t wait!
🏆 Winner announced January 2025

Let’s see which furry friend will steal the spotlight! 🐾 The winner will be contacted directly to claim their prize. 

**This promotion is in no way sponsored, endorsed or administered by, or associated with, Instagram or Facebook.**

#OnCloudCanine #PetOfTheMonth #ContestTime #PetSitting #DogDaycare #FearFreePets #FearFreeCertified #HappyHealthyPets #AkronOH #DogTraining #DoggyDayCamp #CloudCanineCrew",0,"12/02/2024 06:11",https://www.instagram.com/p/DDFDDn7NtX4/,"IG image",,Lifetime,441,195,21,0,18,0,
18021627155441838,17841445806134898,cloudcanine,"On Cloud Canine LLC | Fear Free Certified Professionals","🌹 Love Unleashed: Episode 2 🌹

It looks like puppy love is right around the corner 💖 🐾 Tune in this week for our latest episode of 'Love Unleashed' and see which pups are just friends or on their way to exclusive! 

🌟 Next week we'll reveal each dogs pawfect match - don't miss out! 🌟 Be sure to subscribe to our Youtube channel so you never miss an episode. Link in bio ✨

#OnCloudCanine #PetSitting #AkronOH #FearFree #DogTraining #DoggyDaycare #DogGrooming #DogEnrichment #EnrichmentDaycare #LoveUnleashed",70,"02/24/2025 06:48",https://www.instagram.com/reel/DGdZ-jrpgS9/,"IG reel",,Lifetime,545,387,13,5,0,0,
17925142190914801,17841445806134898,cloudcanine,"On Cloud Canine LLC | Fear Free Certified Professionals","February Enrichment Week 4: It's time for the Grand Finale 🏆 💖

This week, each dog will engage with a potential playmate before finally meeting snout-to-snout! Each pup is then invited to strut their stuff down our red carpet and fight for the chance to be the 'Love Unleashed' Ultimate Canine Couple! 🐾🐕

Here's what activities are on the menu:
🐾 Build Your Love Potion –
Feel the magic with a love potion mixer.
🐾 Rose Petal Pit –
Dig through the roses to find the treat.
🐾 Secret Admirer Gift –
Solve a puzzle from your potential match.
🐾 Paw Painting Together –
Valentine-themed paw painting in pairs.
🐾 Heart-Shaped Relay –
A romantic quest to collect the most hearts.

Will it be love at first sniff? Sign up for 'Love Unleashed' to join in our activities and fill your life with puppy love 💖 

#OnCloudCanine #DoggyDaycare #PetSitting #AkronOH #DogTraining #DogGrooming #FearFree #DogEnrichment #EnrichmentDaycare #EnrichmentForDogs #LoveUnleashed",0,"02/21/2025 13:00",https://www.instagram.com/p/DGWWLmqisk1/,"IG image",,Lifetime,109,79,6,0,0,0,
18034367576565853,17841445806134898,cloudcanine,"On Cloud Canine LLC | Fear Free Certified Professionals","🌟 Employee Spotlight 🌟 A pawsome addition to our pack: Jenna! 

Jenna has been dedicated to animals since she was young, helping care for foster pets and standing strong against animal testing. In 2017, she became an assistant groomer and quickly realized her true calling!

When she’s not pampering pups, Jenna loves attending concerts, kayaking, traveling, and learning new things. At home, she’s got her hands full with her three beloved cats, Newton, Miso, and Goose, and her precious pup, Finley! 🐱🐱🐱🐶

We’re so lucky to have her as part of our team! Let's give Jenna a big round of applause for all the dedication and expertise she brings to On Cloud Canine 👏👏

#OnCloudCanine #EmployeeSpotlight #FearFree #AkronOH #DogGrooming #CatGrooming #MeetThePack #DoggyDaycare #DogTraining #PetSitting",0,"02/21/2025 09:02",https://www.instagram.com/p/DGV6-GTNc4P/,"IG carousel",,Lifetime,608,225,25,7,0,0,
18058041626043620,17841445806134898,cloudcanine,"On Cloud Canine LLC | Fear Free Certified Professionals","We are happy to report that your pups have been LOVING the new Scent Den! 💖 🐾

This enrichment experience offers a natural way to reduce anxiety, boost stimulation, and promote relaxation 😌 Whether it's during daycare or a groom, it will be an adventure they won't forget! 

We all deserve to stop and smell the roses 🌹 Sign up today! 

#OnCloudCanine #DogEnrichment #DoggyDaycare #FearFree #AkronOH #DogTraining #DogGrooming #PetSitting #EnrichmentForDogs",0,"02/20/2025 14:26",https://www.instagram.com/p/DGT7R7nNJ1q/,"IG image",,Lifetime,175,107,8,0,0,0,
17978679680812615,17841445806134898,cloudcanine,"On Cloud Canine LLC | Fear Free Certified Professionals","Did you say arctic weather? Not a problem for these pups! ❄️ #oncloudcanine #fearfreepets #cloudcaninecrew #doggydaycare #akronohio #dogdaycare #enrichmentdaycare",46,"02/19/2025 08:16",https://www.instagram.com/reel/DGQr7rrJSiS/,"IG reel",,Lifetime,273,201,16,0,1,0,
18154646596348260,17841445806134898,cloudcanine,"On Cloud Canine LLC | Fear Free Certified Professionals","Happy Valentine's Day from On Cloud Canine! 💘

#OnCloudCanine #AkronOH #PetSitting #DoggyDaycare #DogGrooming #DogTraining #FearFree #ValentinesDay #dogvalentine",0,"02/14/2025 15:26",https://www.instagram.com/p/DGElW63NXN9/,"IG carousel",,Lifetime,465,293,21,5,3,0,
18060630058803531,17841445806134898,cloudcanine,"On Cloud Canine LLC | Fear Free Certified Professionals","💌 February Enrichment Week 3: Love is right around the corner! 💌

This week is all about interaction and chemistry 💘 We'll observe which pups bond and who's got that special connection, but the final pairing is still a mystery! Here's what's on the menu this week: 

🐾 Valentine Chews – Paired-Up Dinner Time with a Long-Lasting Treat
🐾 Romantic Candlelit Dinner – A Sweet Setting and Our Finest Bottle (Chicken Broth)
🐾 Who’s Your Match? – Sniff Out the Best Smell and a Potential Partner
🐾Nature Walk Duos – A Stroll in Nature to See Who Has a Matching Stride
🐾 Tug of Heartstrings – Pull a Partner in with a Competitive Game of Tug

Join us for 'Love Unleashed' to partake in these pawsome activities! 
Learn, explore, play - sign up today 💖

#OnCloudCanine #AkronOH #DoggyDaycare #DogEnrichment #FearFree #DogTraining #DogGrooming #PetSitting #LoveUnleashed",0,"02/14/2025 13:01",https://www.instagram.com/p/DGEUvRSguhm/,"IG image",,Lifetime,235,142,8,1,0,0,
18068113414865791,17841445806134898,cloudcanine,"On Cloud Canine LLC | Fear Free Certified Professionals","Don’t miss the latest episode of Love Unleashed on YouTube! ❤️ 

We’d love for you to join us on Love Unleashed! In this week’s episode, Bella has plenty of options—but will she make the right choice? Solo, the pup who’s more into chew toys than romance, steals the spotlight, while Dolly Parton steps up to show she’s the true leader of the pack. Will love bloom, or will it all go to the dogs?

👉 Be sure to subscribe to our YouTube channel so you never miss an episode! ⛓️‍💥 Link in our BIO! 

Thanks for being part of the Love Unleashed community!",0,"02/14/2025 11:11",https://www.instagram.com/p/DGEIIpcJGPX/,"IG image",,Lifetime,215,160,18,2,0,0,
18297113251242923,17841456694777598,justanotherfurstylist,"Jenna | Fear Free Certified","We got a new dryer stand! 

#doggrooming #furstylist #dogsofinstagram",12,"02/10/2025 10:53",https://www.instagram.com/reel/DF5y2drSidg/,"IG reel",,Lifetime,546,,18,1,3,0,
